rank,feasible,pv_kw,wind_kw,dg_kw,batt_kwh,elz_kw,gas_storage_m3,npc,lpsp_pct,gas_violation
160,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
161,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
162,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
163,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
164,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
165,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
166,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
167,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
168,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
169,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
170,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
171,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
172,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
173,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
174,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
175,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
176,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
177,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
178,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
179,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
180,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
181,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
182,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
183,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
184,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
185,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
